Genome ID	Genome Name	Organism Name	NCBI Taxon ID	Genome Status	Strain	Serovar	Biovar	Pathovar	MLST	Other Typing	Culture Collection	Type Strain	Completion Date	Publication	BioProject Accession	BioSample Accession	Assembly Accession	SRA Accession	GenBank Accessions	RefSeq Accessions	Sequencing Centers	Sequencing Status	Sequencing Platform	Sequencing Depth	Assembly Method	Chromosomes	Plasmids	Contigs	Genome Length	GC Content	PATRIC CDS	RefSeq CDS	Isolation Site	Isolation Source	Isolation Comments	Collection Date	Isolation Country	Geographic Location	Latitude	Longitude	Altitude	Depth	Other Environmental	Host Name	Host Gender	Host Age	Host Health	Body Sample Site	Body Sample Subsite	Other Clinical	AntiMicrobial Resistance	AntiMicrobial Resistance Evidence	Gram Stain	Cell Shape	Motility	Sporulation	Temperature Range	Optimal Temperature	Salinity	Oxygen Requirement	Habitat	Disease	Comments	Additional Metadata	Coarse Consistency	Fine Consistency	Checkm Completeness	Checkm Contamination	Genome Quality Flags	Genome Quality	Date Inserted	Date Modified
"1036735.3"	"Bifidobacterium breve CECT 7263"	"Bifidobacterium breve CECT 7263"	1036735	"WGS"	"CECT 7263"						" "		"2012-02-16T00:00:00Z"	"22740680"	"PRJNA67403"	"SAMN02471362"	"GCA_000247755.2"		"AFVV00000000"	"-"	"Universidad Complutense de Madrid"	"WGS"						34	2314396	58.9	1954	1725		"human milk from Spanish woman"		"2007"	"Spain"	"Spain"						"Human, Homo sapiens"																			"-"		99.9	99.8	99.7			"Good"	"2014-12-08T22:10:28.195Z"	"2015-03-16T03:17:09.594Z"
"1074482.3"	"Bifidobacterium breve DPC 6330"	"Bifidobacterium breve DPC 6330"	1074482	"WGS"	"DPC 6330"						" "		"2011-09-19T00:00:00Z"	"22072651"	"PRJNA71589"	"SAMN02471030"	"GCA_000226175.2"		"AFXX00000000"	"-"	"Teagasc Food Research Centre, Moorepark, Fermoy, Co. Cork, Rep. Ireland"	"WGS"						47	2386233	58.6	2070			"stool sample from 81 year old patient sheading Clostridium difficle"		"2004"	"Ireland"	"Ireland"						"Human, Homo sapiens"																			"Draft sequence of potential probiotic organism Bifidobacterium breve DPC 6330."		99.9	99.7	100			"Good"	"2014-12-08T22:10:28.221Z"	"2015-03-16T03:17:09.594Z"
"1150460.3"	"Bifidobacterium kashiwanohense JCM 15439 = DSM 21854"		1150460	"WGS"	"DSM 21854"								"2014-08-18T00:00:00Z"	"25085493"	"PRJNA239848"	"SAMN02673436"	"GCA_000741605.1"		"JGYY00000000"	"-"	"University of Parma"		"Ion Torrent"	"64x"	"Mira v. 4.0"			30	2307960	56.2	2029	1948		"Infant feces"										"Human, Homo sapiens"																			"Bifidobacterium genus sequencing;many frameshifted proteins"		99.6	98.8	100	1.4		"Good"	"2014-12-08T22:31:36.936Z"	"2015-03-16T03:17:09.594Z"
"1150461.4"	"Bifidobacterium scardovii JCM 12489 = DSM 13734"		1150461	"WGS"	"DSM 13734"								"2015-05-07T00:00:00Z"		"PRJNA279230"	"SAMN03443793"	"GCF_001005065.1"		"LBIB00000000"		"The First Affiliated Hospital, College of Medicine, Zhejiang University"		"Illumina MiSeq"	"736.0x"	"Velvet v. 1.2.10"			57	3143954	64.64	2735			"blood"		"1982"	"Sweden"	"Sweden"						"Human, Homo sapiens"																			"To investigate the response mechanism to stressful environment"	"sample_type:whole organism"	99.3	98.8	100	0.8		"Good"	"2016-01-17T16:01:49.965Z"	"2016-01-17T16:01:49.965Z"
"1168290.3"	"Bifidobacterium animalis subsp. lactis B420"	"Bifidobacterium animalis subsp. lactis B420"	1168290	"Complete"	"B420"								"2012-05-07T00:00:00Z"		"PRJNA156973"	"SAMN02603214"	"GCA_000277325.1"		"CP003497.1"	"NC_017866.1"	"DuPont"	"complete"				1		1	1938595	60.5	1604	1561			"B. animalis subsp. lactis is a Gram-positive lactic acid bacterium commonly found in the gut of healthy humans, which has the ability to survive in the GIT."									"Human, Homo sapiens"									"Positive"	"Bacilli"	"No"		"Mesophilic"	"39-40C"	"NonHalophilic"	"Anaerobic"	"Multiple"	"Commensal"	"B. animalis subsp. lactis is a Gram-positive lactic acid bacterium commonly found in the gut of healthy humans, which has the ability to survive in the GIT. This strain has also been demonstrated to modulate the host immune response, adhere to human epithelial cells in vitro and utilize non-digestible oligosaccharides."		99.6	99.4	100			"Good"	"2014-12-08T22:10:27.474Z"	"2015-03-16T03:17:09.594Z"
"1203540.3"	"Bifidobacterium breve HPH0326"	"Bifidobacterium breve HPH0326"	1203540	"WGS"	"HPH0326"								"2013-06-14T00:00:00Z"		"PRJNA169434"	"SAMN02596976"	"GCA_000411435.1"		"ATCB00000000"	"-"	"Broad Institute"	"WGS"	"Illumina"	"273.0x"	"allpaths v. R42768"			6	2502557	59.1	2182	2137		"Gastrointestinal tract; Ileal-anal pouch"	"This strain was isolated from a biopsy of ileal-anal pouch mucosa of a human subject"									"Human, Homo sapiens"				"Gastrointestinal tract; Ileal-anal pouch"					"Positive"		"Nonmotile"						"Host-Associated"		"-"		99.9	99.6	100			"Good"	"2014-12-08T22:10:28.245Z"	"2015-03-16T03:17:09.594Z"
"1207542.8"	"Bifidobacterium bifidum LMG 13195"		1207542	"WGS"	"LMG 13195"								"2015-06-05T00:00:00Z"	"25523018"	"PRJNA263318"	"SAMN03103720"	"GCF_001020415.1"		"JSEA00000000"		"University of Parma"		"Ion Torrent"	"109x"	"Mira v. 4.0"			34	2310178	62.55	2069	1835		"Infant intestine"										"Human, Homo sapiens"																			"Bifidobacterium bifidum pangenome"		99.2	98.9	100	0.3		"Good"	"2016-01-17T16:05:18.124Z"	"2016-01-17T16:05:18.124Z"
"1207542.9"	"Bifidobacterium bifidum LMG 13195 strain JCM 7004"		1207542	"Complete"	"JCM 7004"								"2017-09-15T00:00:00Z"	"28814130"	"PRJDB5664"	"SAMD00078038"	"GCA_003573955.1"		"AP018131"		"Graduate School of Biostudies, Kyoto University"		"PacBio RSII"	"540x"	"SMRT Analysis v. 2.3.0"	1		1	2261666	62.634182	2098	2106		"intestine of infant"	"isolated from intestine of infant"								"env_biome:human gut"	"Human, Homo sapiens"																			"Bifidobacterium bifidum JCM 7004 was isolated from intestine of infant. As a symbiotic species in breast-fed infants' gut, Bifidobacterium bifidum is characterized by its unique properties in the ability to degrade complex carbohydrates such as human milk oligosaccharides and mucin glycans. Comprehension from the genome analysis of B. bifidum strain may be useful for the unveiling mechanisms of symbiosis between Bifidobacteria and human.;many frameshifted proteins;validation errors"	"biomaterial_provider:JCM"	99.3	97	100	7.3		"Good"	"2018-10-03T15:37:06.018Z"	"2018-10-03T15:37:06.018Z"
"1207543.3"	"Bifidobacterium bifidum IPLA 20015"	"Bifidobacterium bifidum IPLA 20015"	1207543	"WGS"	"IPLA 20015"						" "		"2012-09-28T00:00:00Z"		"PRJNA170147"	"SAMN02470078"	"GCA_000300215.1"		"AMPM00000000"	"-"	"IPLA-CSIC"	"WGS"	"Illumina HiSeq"	"100.0x"	"Velvet v. 1.2.05"			571	2138334	62.7	1820	2159		"feces of breast-milk fed infant"	"Isolated from faeces of breast-milk fed infants"									"Human, Homo sapiens"																			"Pro Th17 Bifidobacterium bifidum strain. Isolated from faeces of breast-milk fed infants."		96.5	96.2	92.3			"Good"	"2014-12-08T22:10:27.992Z"	"2015-03-16T03:17:09.594Z"
"1254439.12"	"Bifidobacterium thermophilum RBL67"	"Bifidobacterium thermophilum RBL67"	1254439	"Complete"	"RBL67"						" "		"2013-03-20T00:00:00Z"		"PRJNA179141"	"SAMN02603226"	"GCA_000347695.1"		"CP004346.1"	"NC_020546.1"	"ETH Zurich"	"complete"	"Sanger dideoxy sequencing; 454; Illumina"	"900X"	"Lasergene SeqMan Pro v. 8.0.2; CLC Genomic"	1		1	2291643	60.1	1839	1845		"baby feces"	"isolated from baby feces"									"Human, Homo sapiens"																			"B. thermophilum RBL67 was in previous studies associated with bacteriocin production and probiotic properties. Therefore, we decided to sequence the whole genome to assess its potential probiotic properties on genome level.  Sample isolated from baby feces."		99.6	99.5	100	0.3		"Good"	"2014-12-08T22:10:29.118Z"	"2015-03-16T03:17:09.594Z"
"1261072.3"	"Bifidobacterium breve JCP7499"	"Bifidobacterium breve JCP7499"	1261072	"WGS"	"JCP7499"								"2013-09-12T00:00:00Z"		"PRJNA181327"	"SAMN02436887"	"GCA_000466545.1"		"AWSX00000000"	"-"	"Washington University"	"WGS"	"Illumina"	"126x"	"Velvet v. 1.1.06"			96	2366917	58.6	2073	2281		"vagina"										"Human, Homo sapiens"	"female"																"Host Associated"		"Human Microbiome Project (HMP) Reference Genomes"		99.9	99.6	100	0.3		"Good"	"2014-12-08T22:10:28.272Z"	"2015-03-16T03:17:09.594Z"
"1263057.3"	"Bifidobacterium adolescentis CAG:119"		1263057	"WGS"	"MGS:119"								"2013-05-31T00:00:00Z"		"PRJEB698"	"SAMEA3138648"	"GCF_000435235.1"		"CAXT000000000"		"DTU"							124	1924354	59.4	1734	1593		"396 human stool samples we identified 7,381 such MetaGenomic Species"	"derived from 396 human stool samples we identified 7,381 such MetaGenomic Species"									"Human, Homo sapiens"																			"Metagenomic data acquired by deep sequencing is immensely complex, lacks apparent structure and is typically dominated by unknown species. Using an abundance co-variance strategy, we group highly co-varying genes into MetaGenomic Species, which represent a wide range of biological entities: bacterial genomes, plasmids, genomic islands, clonal variation and bacteriophages. Applying this concept to a new 3.9 million microbial gene catalogue derived from 396 human stool samples we identified 7,381 such MetaGenomic Species. They range in size from 3 to 6,319 genes, with 741 MetaGenomic Species resembling bacterial genomes in number of genes contained. The Meta-Genomic Species displays remarkable consistency in taxonomy and GC content. 247 of the MetaGenomic Species assemblies even pass the HMP high quality draft genome criteria. A large proportion (73%) of the MetaGenomic Species displays no sequence similarity to any previously sequenced organism. Smaller MetaGenomic Species are enriched for genes characteristic for bacteriophages and functions important for biotic interactions and show strong dependencies to gene-rich MetaGenomic Species. We present the first unsupervised structuring of a highly complex series of metagenomic samples into biological entities, including a global analysis of the genetic interdependencies between bacteria, plasmids, phages and genetic islands in the human distal gut.;derived from environmental source"		98.2	96.9	97.6	3.6		"Good"	"2016-01-17T15:32:21.353Z"	"2016-01-17T15:32:21.353Z"
"1263058.3"	"Bifidobacterium bifidum CAG:234"		1263058	"WGS"	"MGS:234"								"2013-05-31T00:00:00Z"		"PRJEB773"	"SAMEA3138682"	"GCF_000435915.1"		"CBDF000000000"		"DTU"							107	2124139	62.59	1903	1784		"396 human stool samples we identified 7,381 such MetaGenomic Species"	"derived from 396 human stool samples we identified 7,381 such MetaGenomic Species"									"Human, Homo sapiens"																			"Metagenomic data acquired by deep sequencing is immensely complex, lacks apparent structure and is typically dominated by unknown species. Using an abundance co-variance strategy, we group highly co-varying genes into MetaGenomic Species, which represent a wide range of biological entities: bacterial genomes, plasmids, genomic islands, clonal variation and bacteriophages. Applying this concept to a new 3.9 million microbial gene catalogue derived from 396 human stool samples we identified 7,381 such MetaGenomic Species. They range in size from 3 to 6,319 genes, with 741 MetaGenomic Species resembling bacterial genomes in number of genes contained. The Meta-Genomic Species displays remarkable consistency in taxonomy and GC content. 247 of the MetaGenomic Species assemblies even pass the HMP high quality draft genome criteria. A large proportion (73%) of the MetaGenomic Species displays no sequence similarity to any previously sequenced organism. Smaller MetaGenomic Species are enriched for genes characteristic for bacteriophages and functions important for biotic interactions and show strong dependencies to gene-rich MetaGenomic Species. We present the first unsupervised structuring of a highly complex series of metagenomic samples into biological entities, including a global analysis of the genetic interdependencies between bacteria, plasmids, phages and genetic islands in the human distal gut.;derived from environmental source"		99	97.4	99.6	5.4		"Good"	"2016-01-17T15:32:34.140Z"	"2016-01-17T15:32:34.140Z"
"1263059.3"	"Bifidobacterium longum CAG:69"		1263059	"WGS"	"MGS:69"								"2013-05-31T00:00:00Z"		"PRJEB979"	"SAMEA3138475"	"GCF_000431755.1"		"CAZE000000000"		"DTU"							117	2035113	60.04	1829	1686		"396 human stool samples we identified 7,381 such MetaGenomic Species"	"derived from 396 human stool samples we identified 7,381 such MetaGenomic Species"									"Human, Homo sapiens"																			"Metagenomic data acquired by deep sequencing is immensely complex, lacks apparent structure and is typically dominated by unknown species. Using an abundance co-variance strategy, we group highly co-varying genes into MetaGenomic Species, which represent a wide range of biological entities: bacterial genomes, plasmids, genomic islands, clonal variation and bacteriophages. Applying this concept to a new 3.9 million microbial gene catalogue derived from 396 human stool samples we identified 7,381 such MetaGenomic Species. They range in size from 3 to 6,319 genes, with 741 MetaGenomic Species resembling bacterial genomes in number of genes contained. The Meta-Genomic Species displays remarkable consistency in taxonomy and GC content. 247 of the MetaGenomic Species assemblies even pass the HMP high quality draft genome criteria. A large proportion (73%) of the MetaGenomic Species displays no sequence similarity to any previously sequenced organism. Smaller MetaGenomic Species are enriched for genes characteristic for bacteriophages and functions important for biotic interactions and show strong dependencies to gene-rich MetaGenomic Species. We present the first unsupervised structuring of a highly complex series of metagenomic samples into biological entities, including a global analysis of the genetic interdependencies between bacteria, plasmids, phages and genetic islands in the human distal gut.;derived from environmental source"		99.5	98.2	98.7	3.3		"Good"	"2016-01-17T15:31:17.714Z"	"2016-01-17T15:31:17.714Z"
"1263060.3"	"Bifidobacterium pseudocatenulatum CAG:263"		1263060	"WGS"	"MGS:263"								"2013-05-31T00:00:00Z"		"PRJEB795"	"SAMEA3138725"	"GCF_000436815.1"		"CBEV000000000"		"DTU"							123	2009589	56.38	1805	1659		"396 human stool samples we identified 7,381 such MetaGenomic Species"	"derived from 396 human stool samples we identified 7,381 such MetaGenomic Species"									"Human, Homo sapiens"																			"Metagenomic data acquired by deep sequencing is immensely complex, lacks apparent structure and is typically dominated by unknown species. Using an abundance co-variance strategy, we group highly co-varying genes into MetaGenomic Species, which represent a wide range of biological entities: bacterial genomes, plasmids, genomic islands, clonal variation and bacteriophages. Applying this concept to a new 3.9 million microbial gene catalogue derived from 396 human stool samples we identified 7,381 such MetaGenomic Species. They range in size from 3 to 6,319 genes, with 741 MetaGenomic Species resembling bacterial genomes in number of genes contained. The Meta-Genomic Species displays remarkable consistency in taxonomy and GC content. 247 of the MetaGenomic Species assemblies even pass the HMP high quality draft genome criteria. A large proportion (73%) of the MetaGenomic Species displays no sequence similarity to any previously sequenced organism. Smaller MetaGenomic Species are enriched for genes characteristic for bacteriophages and functions important for biotic interactions and show strong dependencies to gene-rich MetaGenomic Species. We present the first unsupervised structuring of a highly complex series of metagenomic samples into biological entities, including a global analysis of the genetic interdependencies between bacteria, plasmids, phages and genetic islands in the human distal gut.;derived from environmental source"		97.7	97	97.4	3.1		"Good"	"2016-01-17T15:32:49.453Z"	"2016-01-17T15:32:49.453Z"
"1266716.3"	"Bifidobacterium longum subsp. longum CMCC P0001"	"Bifidobacterium longum subsp. longum CMCC P0001"	1266716	"WGS"	"CMCC P0001"								"2013-06-04T00:00:00Z"		"PRJNA182967"	"SAMN02470970"	"GCA_000410595.1"		"APVE00000000"	"-"	"Shanghai Sine Pharmaceutical Co., Ltd."	"WGS"	"Illumina Hiseq 2000"	"176x"	"SOAP denovo v. 1.05"			135	2422681	59.7	2037			"the feces of healthy children and identified as Bifidobacterium longum subsp"	"isolated from the feces of healthy children and identified as Bifidobacterium longum subsp"	"1895"	"China"	"China"						"Human, Homo sapiens"									"Positive"	"Bacilli"	"Nonmotile"	"Nonsporulating"	"Mesophilic"	"37 C"	"Unknown"	"Anaerobic"	"Host-Associated"		"A complete genome sequence of a bifidobacterium longum subsp. longum CMCC P0001. The bacterium strain was originally isolated from the feces of healthy children and identified as Bifidobacterium longum subsp. longum by National Institute for the Control of Pharmaceutical and Biological Products (NICPBP), China. The strain was initially deposited in China Center for Type Culture Collection (CCTCC) with registration number M98003 and it was designated as standard strain for probiotics production by China Medical Culture Collection Center (CMCC) with assigned number CMCC P0001 in 2011."		99.7	99.6	100			"Good"	"2014-12-08T22:10:28.773Z"	"2015-03-16T03:17:09.594Z"
"1322347.4"	"Bifidobacterium longum E18"		1322347	"Complete"	"E18"								"2015-03-23T00:00:00Z"		"PRJNA197134"	"SAMN02471972"	"GCF_000497735.1"		"AUYD00000000"		"Ulm University"		"454; ABI3730"	"19.6x"	"Newbler v. 2.3"	1		1	2372966	59.96	2084	1862		"feces from a healthy adult"		"Apr-00"	"Germany"	"Germany: Ulm"						"Human, Homo sapiens"									"Positive"	"Bacilli"	"No"		"Mesophilic"	"37C"		"Anaerobic"	"HostAssociated"		"This strain will be sequenced for comparative genome analysis."		99.9	99.6	100			"Good"	"2016-01-17T15:33:52.002Z"	"2016-01-17T15:33:52.002Z"
